danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.36,0.565,7,-4.898,1,0.0608,0.358,0.0,0.0448,0.311,173.281,audio_features,6CdUgvL597jWmW4w8P5kHs,spotify:track:6CdUgvL597jWmW4w8P5kHs,https://api.spotify.com/v1/tracks/6CdUgvL597jWmW4w8P5kHs,https://api.spotify.com/v1/audio-analysis/6CdUgvL597jWmW4w8P5kHs,209157,4,Fine
0.736,0.411,7,-6.705,1,0.0299,0.23,0.0,0.0668,0.798,94.998,audio_features,0KeK6xqEcTT1VWhHf5iw2d,spotify:track:0KeK6xqEcTT1VWhHf5iw2d,https://api.spotify.com/v1/tracks/0KeK6xqEcTT1VWhHf5iw2d,https://api.spotify.com/v1/audio-analysis/0KeK6xqEcTT1VWhHf5iw2d,208104,4,Teman Bahagia
0.728,0.558,5,-6.399,1,0.0336,0.176,0.0,0.145,0.376,129.998,audio_features,3sIbXHStayfEMhIrLgsJs2,spotify:track:3sIbXHStayfEMhIrLgsJs2,https://api.spotify.com/v1/tracks/3sIbXHStayfEMhIrLgsJs2,https://api.spotify.com/v1/audio-analysis/3sIbXHStayfEMhIrLgsJs2,226927,4,Runaway
0.582,0.232,9,-11.863,1,0.0309,0.811,0.0,0.1,0.317,135.889,audio_features,1JxoK0EU5SHupbXjSwYaN7,spotify:track:1JxoK0EU5SHupbXjSwYaN7,https://api.spotify.com/v1/tracks/1JxoK0EU5SHupbXjSwYaN7,https://api.spotify.com/v1/audio-analysis/1JxoK0EU5SHupbXjSwYaN7,255563,4,Cinta Luar Biasa
0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921,audio_features,3WUEs51GpcvlgU7lehLgLh,spotify:track:3WUEs51GpcvlgU7lehLgLh,https://api.spotify.com/v1/tracks/3WUEs51GpcvlgU7lehLgLh,https://api.spotify.com/v1/audio-analysis/3WUEs51GpcvlgU7lehLgLh,318814,4,Kathang Isip
0.701,0.15,3,-12.616,1,0.0367,0.853,0.0,0.138,0.201,106.873,audio_features,0WJzNozPIX9guWJ2H96MPM,spotify:track:0WJzNozPIX9guWJ2H96MPM,https://api.spotify.com/v1/tracks/0WJzNozPIX9guWJ2H96MPM,https://api.spotify.com/v1/audio-analysis/0WJzNozPIX9guWJ2H96MPM,239444,4,Spring Day
0.686,0.309,11,-7.651,0,0.036,0.794,0.0,0.0899,0.578,104.264,audio_features,1Xgd129Fh9g4fxn4crweBV,spotify:track:1Xgd129Fh9g4fxn4crweBV,https://api.spotify.com/v1/tracks/1Xgd129Fh9g4fxn4crweBV,https://api.spotify.com/v1/audio-analysis/1Xgd129Fh9g4fxn4crweBV,194561,4,Three Million Years
0.443,0.141,11,-13.876,1,0.0317,0.967,3.82e-06,0.158,0.341,145.043,audio_features,0a5RE3K2dA3Dm7evtJwxwh,spotify:track:0a5RE3K2dA3Dm7evtJwxwh,https://api.spotify.com/v1/tracks/0a5RE3K2dA3Dm7evtJwxwh,https://api.spotify.com/v1/audio-analysis/0a5RE3K2dA3Dm7evtJwxwh,218161,4,Imperfectly
0.522,0.381,10,-6.765,1,0.031,0.389,0.0,0.133,0.519,169.862,audio_features,0wPLRDssQ42SQIcP5nffdt,spotify:track:0wPLRDssQ42SQIcP5nffdt,https://api.spotify.com/v1/tracks/0wPLRDssQ42SQIcP5nffdt,https://api.spotify.com/v1/audio-analysis/0wPLRDssQ42SQIcP5nffdt,169059,4,"10,000 Hours - Acoustic"
0.514,0.492,5,-5.742,1,0.034,0.783,1.24e-06,0.114,0.3,141.624,audio_features,2YRCuGS4vCodVtfiCRn5S2,spotify:track:2YRCuGS4vCodVtfiCRn5S2,https://api.spotify.com/v1/tracks/2YRCuGS4vCodVtfiCRn5S2,https://api.spotify.com/v1/audio-analysis/2YRCuGS4vCodVtfiCRn5S2,260253,4,Where Is The Love (feat. NIve)
0.556,0.833,5,-5.29,1,0.0402,0.0156,0.0,0.0659,0.374,125.07,audio_features,39LyUQIy7idLxPdsjyZsxe,spotify:track:39LyUQIy7idLxPdsjyZsxe,https://api.spotify.com/v1/tracks/39LyUQIy7idLxPdsjyZsxe,https://api.spotify.com/v1/audio-analysis/39LyUQIy7idLxPdsjyZsxe,224747,4,Wasted Nights
0.63,0.729,6,-4.93,1,0.0287,0.123,8e-06,0.0786,0.44,127.919,audio_features,0zHZSO80CTxNtvtRhveHRJ,spotify:track:0zHZSO80CTxNtvtRhveHRJ,https://api.spotify.com/v1/tracks/0zHZSO80CTxNtvtRhveHRJ,https://api.spotify.com/v1/audio-analysis/0zHZSO80CTxNtvtRhveHRJ,234737,4,Sau Aasmaan
0.569,0.377,8,-9.464,1,0.0385,0.485,5.86e-06,0.243,0.157,105.992,audio_features,2fFgn8djFVuKhIqEjMVZ6N,spotify:track:2fFgn8djFVuKhIqEjMVZ6N,https://api.spotify.com/v1/tracks/2fFgn8djFVuKhIqEjMVZ6N,https://api.spotify.com/v1/audio-analysis/2fFgn8djFVuKhIqEjMVZ6N,261440,4,Stand Up For Love (2005 World Children's Day Anthem) - Radio Edit
0.571,0.143,11,-8.704,1,0.0381,0.885,0.0,0.119,0.487,107.516,audio_features,7tYjXd42SzEhrWEFQeZxNm,spotify:track:7tYjXd42SzEhrWEFQeZxNm,https://api.spotify.com/v1/tracks/7tYjXd42SzEhrWEFQeZxNm,https://api.spotify.com/v1/audio-analysis/7tYjXd42SzEhrWEFQeZxNm,255661,5,Simula Pa Nung Una
0.674,0.657,2,-4.76,1,0.0285,0.586,0.0,0.112,0.351,95.033,audio_features,4ZkdPpJbOvBqjYnDq23Zp9,spotify:track:4ZkdPpJbOvBqjYnDq23Zp9,https://api.spotify.com/v1/tracks/4ZkdPpJbOvBqjYnDq23Zp9,https://api.spotify.com/v1/audio-analysis/4ZkdPpJbOvBqjYnDq23Zp9,248520,4,また君と
