danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.204,0.282,9,-9.774,0,0.035,0.938,0.000388,0.109,0.128,169.386,audio_features,5TAKAAtBgqcylTFei8fFGg,spotify:track:5TAKAAtBgqcylTFei8fFGg,https://api.spotify.com/v1/tracks/5TAKAAtBgqcylTFei8fFGg,https://api.spotify.com/v1/audio-analysis/5TAKAAtBgqcylTFei8fFGg,210001,4,To Die For - Ólafur Arnalds Remix
0.578,0.268,2,-7.996,1,0.0351,0.836,0.0,0.11,0.234,118.448,audio_features,3WE6mlsafIe9lwKvVzJTuR,spotify:track:3WE6mlsafIe9lwKvVzJTuR,https://api.spotify.com/v1/tracks/3WE6mlsafIe9lwKvVzJTuR,https://api.spotify.com/v1/audio-analysis/3WE6mlsafIe9lwKvVzJTuR,230733,4,I Don't Want to Miss a Thing
0.554,0.889,6,-6.635,0,0.0643,0.000285,0.911,0.0906,0.0605,125.016,audio_features,4d42DsNHiQipjONbwTYyEc,spotify:track:4d42DsNHiQipjONbwTYyEc,https://api.spotify.com/v1/tracks/4d42DsNHiQipjONbwTYyEc,https://api.spotify.com/v1/audio-analysis/4d42DsNHiQipjONbwTYyEc,188640,4,Detroit 3 AM - Radio Edit
0.877,0.89,5,-5.247,0,0.06,0.00879,0.691,0.0885,0.932,130.009,audio_features,6zLkgyonVkJfaWhsDSbgCm,spotify:track:6zLkgyonVkJfaWhsDSbgCm,https://api.spotify.com/v1/tracks/6zLkgyonVkJfaWhsDSbgCm,https://api.spotify.com/v1/audio-analysis/6zLkgyonVkJfaWhsDSbgCm,165512,4,Krazy (feat. Afronaut Zu)
0.544,0.353,11,-7.275,0,0.0303,0.706,0.0,0.105,0.357,138.059,audio_features,3ksNHUNCTP6Pan8rjFnmtw,spotify:track:3ksNHUNCTP6Pan8rjFnmtw,https://api.spotify.com/v1/tracks/3ksNHUNCTP6Pan8rjFnmtw,https://api.spotify.com/v1/audio-analysis/3ksNHUNCTP6Pan8rjFnmtw,225039,4,Never Worn White
0.733,0.552,7,-7.404,1,0.0993,0.0833,7.59e-06,0.141,0.279,125.311,audio_features,1ShHhJlzaLuoZbJ3aP4z0m,spotify:track:1ShHhJlzaLuoZbJ3aP4z0m,https://api.spotify.com/v1/tracks/1ShHhJlzaLuoZbJ3aP4z0m,https://api.spotify.com/v1/audio-analysis/1ShHhJlzaLuoZbJ3aP4z0m,197307,5,Invisible Things
0.533,0.297,0,-8.443,1,0.0446,0.459,1.25e-06,0.145,0.118,130.344,audio_features,3PgxWUQc4HJoQMj5Kp5Mcd,spotify:track:3PgxWUQc4HJoQMj5Kp5Mcd,https://api.spotify.com/v1/tracks/3PgxWUQc4HJoQMj5Kp5Mcd,https://api.spotify.com/v1/audio-analysis/3PgxWUQc4HJoQMj5Kp5Mcd,239077,4,"Lover - Recorded at Air Studios, London"
0.622,0.802,9,-4.969,0,0.167,0.17,0.0,0.263,0.764,124.859,audio_features,2FGh2ref26EwA3Z5st5oHb,spotify:track:2FGh2ref26EwA3Z5st5oHb,https://api.spotify.com/v1/tracks/2FGh2ref26EwA3Z5st5oHb,https://api.spotify.com/v1/audio-analysis/2FGh2ref26EwA3Z5st5oHb,144910,4,Hold On (feat. Cheat Codes) - 2020 Edit
0.779,0.901,1,-3.516,1,0.0763,0.00573,2.32e-05,0.217,0.338,107.969,audio_features,7urlrFCPLz4Z2Q9KkIEZbP,spotify:track:7urlrFCPLz4Z2Q9KkIEZbP,https://api.spotify.com/v1/tracks/7urlrFCPLz4Z2Q9KkIEZbP,https://api.spotify.com/v1/audio-analysis/7urlrFCPLz4Z2Q9KkIEZbP,212639,4,"Further Up (Na, Na, Na, Na, Na) - IAmChino Remix"
0.576,0.332,2,-7.62,1,0.0349,0.772,0.0,0.302,0.353,115.581,audio_features,67EbNY9iDrlwQ7h33jVb5E,spotify:track:67EbNY9iDrlwQ7h33jVb5E,https://api.spotify.com/v1/tracks/67EbNY9iDrlwQ7h33jVb5E,https://api.spotify.com/v1/audio-analysis/67EbNY9iDrlwQ7h33jVb5E,190373,4,Let Me Down Slow - Acoustic
0.437,0.881,3,-6.797,0,0.0546,0.00023,0.000443,0.514,0.224,124.21,audio_features,46jtJHchf5pd2VzHnmC0xI,spotify:track:46jtJHchf5pd2VzHnmC0xI,https://api.spotify.com/v1/tracks/46jtJHchf5pd2VzHnmC0xI,https://api.spotify.com/v1/audio-analysis/46jtJHchf5pd2VzHnmC0xI,274040,4,Guns and Horses - Monsieur Adi Remix
0.465,0.392,0,-8.754,1,0.0284,0.248,2.78e-06,0.332,0.248,147.097,audio_features,0ocPfIPpUGLOSfMshP2ERA,spotify:track:0ocPfIPpUGLOSfMshP2ERA,https://api.spotify.com/v1/tracks/0ocPfIPpUGLOSfMshP2ERA,https://api.spotify.com/v1/audio-analysis/0ocPfIPpUGLOSfMshP2ERA,226146,4,Forever Your Dad
0.519,0.412,11,-14.188,1,0.0525,0.256,0.951,0.13,0.416,125.353,audio_features,1Gg8HviZ5grEZQj0tZap1x,spotify:track:1Gg8HviZ5grEZQj0tZap1x,https://api.spotify.com/v1/tracks/1Gg8HviZ5grEZQj0tZap1x,https://api.spotify.com/v1/audio-analysis/1Gg8HviZ5grEZQj0tZap1x,504070,4,Rain Is Here
