danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,isLiked
0.599,0.722,1,-4.032,0.0934,0.0256,0.0,0.0896,0.557,102.147,0
0.737,0.636,11,-4.546,0.0437,0.0441,6.659999999999999e-05,0.35,0.565,105.005,0
0.6629999999999999,0.713,7,-6.647,0.11199999999999999,0.0353,7.68e-06,0.0843,0.69,101.965,0
0.636,0.815,5,-5.098,0.0581,0.0185,0.0,0.163,0.636,123.06299999999999,0
0.664,0.705,1,-4.9719999999999995,0.0382,0.0654,0.0,0.11800000000000001,0.47700000000000004,122.016,0
0.736,0.9490000000000001,9,-3.2460000000000004,0.0527,0.18899999999999997,0.0169,0.067,0.687,109.991,0
0.653,0.816,2,-4.353,0.16699999999999998,0.228,0.0,0.0967,0.816,178.08599999999998,0
0.718,0.609,0,-4.699,0.0429,0.281,3.289999999999999e-05,0.23399999999999999,0.49700000000000005,122.948,0
0.762,0.7,9,-6.021,0.0694,0.0026100000000000003,1.56e-05,0.153,0.608,116.073,1
0.72,0.763,9,-4.0680000000000005,0.0523,0.406,0.0,0.18,0.742,101.965,0
0.765,0.523,2,-4.333,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,1
0.7020000000000001,0.635,11,-6.917000000000001,0.265,0.0223,0.0,0.28300000000000003,0.873,144.004,0
0.775,0.613,3,-4.586,0.0542,0.109,2.33e-05,0.134,0.797,100.066,1
0.866,0.813,11,-4.063,0.0554,0.38,0.0,0.0779,0.9690000000000001,121.99799999999999,1
0.825,0.652,1,-3.1830000000000003,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,1
0.5479999999999999,0.65,8,-5.827000000000001,0.0591,0.21899999999999997,0.0,0.225,0.557,144.937,0
0.7240000000000001,0.804,11,-4.614,0.0448,0.124,0.0,0.204,0.306,124.98700000000001,0
0.258,0.43700000000000006,11,-6.593,0.039,0.10099999999999999,1.27e-06,0.106,0.0967,180.043,0
0.737,0.792,11,-4.117,0.0416,0.102,0.0,0.0532,0.5429999999999999,104.012,0
0.605,0.8220000000000001,0,-4.833,0.0438,0.00671,0.134,0.147,0.28800000000000003,167.997,0
0.853,0.56,1,-4.961,0.0406,0.013000000000000001,0.0,0.0944,0.86,134.066,1
0.599,0.44799999999999995,8,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0
0.609,0.6679999999999999,7,-4.284,0.0367,0.0552,0.0,0.16699999999999998,0.8109999999999999,80.92399999999999,0
0.585,0.52,5,-6.136,0.0712,0.124,7.01e-05,0.131,0.129,159.80100000000002,0
0.62,0.574,5,-7.787999999999999,0.0479,0.57,0.0,0.19,0.35200000000000004,100.021,0
0.836,0.544,7,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.02799999999999,1
0.626,0.88,9,-2.384,0.0504,0.205,0.0,0.128,0.534,95.079,0
0.748,0.7490000000000001,8,-5.916,0.516,0.142,0.0,0.0713,0.659,90.09,0
0.748,0.524,8,-5.599,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01,0
0.851,0.541,0,-6.825,0.0505,0.568,0.0,0.13,0.44799999999999995,124.959,1
0.7040000000000001,0.8590000000000001,5,-4.877,0.0996,0.0185,0.0,0.0215,0.9259999999999999,105.115,0
0.653,0.809,0,-4.0569999999999995,0.0474,0.19399999999999998,0.0,0.165,0.55,92.213,0
0.877,0.6579999999999999,11,-6.055,0.132,0.163,0.0,0.10800000000000001,0.693,123.999,1
0.672,0.655,10,-5.021,0.0311,0.0362,0.0,0.11699999999999999,0.556,134.945,0
0.8,0.535,7,-6.684,0.135,0.0713,9.48e-06,0.213,0.451,92.027,1
0.845,0.561,1,-5.252999999999999,0.0778,0.21100000000000002,3.49e-06,0.0383,0.8109999999999999,109.97399999999999,1
0.489,0.588,1,-6.1770000000000005,0.0507,0.0285,2.11e-06,0.0906,0.187,113.617,0
0.753,0.657,7,-3.0610000000000004,0.0449,0.171,0.0,0.11199999999999999,0.43700000000000006,107.01,1
0.628,0.797,11,-3.9530000000000003,0.0596,0.0364,0.0,0.10400000000000001,0.321,106.93,0
0.617,0.635,11,-6.769,0.0317,0.0498,1.4400000000000001e-05,0.16399999999999998,0.446,103.01899999999999,0
0.642,0.772,10,-6.61,0.0848,0.0476,0.0,0.0646,0.589,153.995,0
0.855,0.624,1,-4.093,0.0488,0.158,0.0,0.0513,0.9620000000000001,117.959,1
0.8009999999999999,0.795,1,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,1
0.735,0.425,0,-6.648,0.0466,0.011000000000000001,0.0,0.055,0.848,85.89399999999999,0
0.624,0.8759999999999999,9,-3.3739999999999997,0.1,0.0735,0.0,0.327,0.7809999999999999,99.943,0
0.6459999999999999,0.741,5,-4.973,0.034,0.0275,0.0,0.312,0.5710000000000001,123.07700000000001,0
0.622,0.7120000000000001,5,-7.321000000000001,0.066,0.0573,0.0,0.13,0.48700000000000004,140.025,0
0.7559999999999999,0.5720000000000001,9,-7.019,0.0763,0.0478,0.0,0.0853,0.41700000000000004,102.986,1
0.6970000000000001,0.6829999999999999,1,-2.8810000000000002,0.11699999999999999,0.0372,0.0,0.13699999999999998,0.603,96.133,0
0.753,0.498,2,-5.61,0.0504,0.551,0.0,0.0706,0.927,89.95,1
0.45,0.335,7,-7.4639999999999995,0.0298,0.785,1.25e-06,0.0979,0.25,109.90799999999999,0
0.81,0.5379999999999999,0,-5.784,0.0356,0.528,0.0,0.0951,0.828,109.97,1
0.664,0.642,6,-5.961,0.038,0.129,0.0,0.114,0.501,118.00200000000001,0
0.69,0.845,9,-4.676,0.0339,0.0193,0.0,0.10099999999999999,0.638,114.948,0
0.6779999999999999,0.7290000000000001,8,-4.188,0.13699999999999998,0.0658,0.0,0.303,0.643,99.895,0
0.597,0.7509999999999999,6,-4.982,0.193,0.0104,0.0,0.0912,0.568,103.956,0
0.687,0.792,5,-2.7489999999999997,0.0452,0.191,0.0,0.16699999999999998,0.6709999999999999,100.015,0
0.669,0.937,8,-4.053999999999999,0.0714,0.027999999999999997,1.7899999999999998e-05,0.318,0.223,75.013,0
0.537,0.7859999999999999,8,-4.331,0.0317,0.0719,0.0,0.253,0.18,128.0,0
0.284,0.7040000000000001,2,-7.276,0.18600000000000003,0.00583,0.00011499999999999999,0.0424,0.1,191.702,0
0.684,0.619,10,-7.005,0.0386,0.0716,0.0,0.122,0.284,125.046,0
0.596,0.8540000000000001,7,-5.114,0.46299999999999997,0.0169,0.0,0.124,0.152,120.274,0
0.731,0.794,0,-5.126,0.0522,0.0323,2.59e-05,0.11199999999999999,0.35600000000000004,139.994,0
0.7509999999999999,0.736,5,-4.168,0.156,0.0206,0.0,0.265,0.35200000000000004,130.014,1
0.435,0.8370000000000001,3,-8.126,0.449,0.0067599999999999995,0.0,0.11699999999999999,0.778,124.913,0
0.664,0.845,4,-6.115,0.0461,0.18100000000000002,0.0,0.267,0.35700000000000004,96.005,0
0.745,0.35600000000000004,1,-10.425,0.0941,0.172,0.00943,0.12300000000000001,0.607,160.033,0
0.6459999999999999,0.795,9,-3.293,0.0976,0.0319,0.0,0.267,0.7959999999999999,89.99,0
0.743,0.841,0,-5.189,0.0391,0.0156,0.0,0.133,0.8140000000000001,100.00299999999999,0
0.768,0.82,7,-4.63,0.0475,0.179,0.0,0.7040000000000001,0.625,129.969,1
0.775,0.68,0,-5.507999999999999,0.0629,0.009059999999999999,0.0,0.109,0.6559999999999999,114.025,1
0.56,0.68,6,-7.648,0.321,0.555,0.0,0.11599999999999999,0.319,89.391,0
0.5379999999999999,0.409,9,-6.581,0.0505,0.172,0.0,0.11,0.265,171.838,0
0.755,0.769,10,-5.6579999999999995,0.18600000000000003,0.314,2.38e-06,0.0628,0.642,114.96600000000001,1
0.552,0.76,0,-4.706,0.342,0.0733,0.0,0.0865,0.639,135.702,0
0.748,0.7879999999999999,1,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.07600000000001,0
0.742,0.713,1,-5.522,0.0303,0.0205,0.0,0.059000000000000004,0.879,120.03200000000001,0
0.611,0.462,0,-7.053999999999999,0.0646,0.5579999999999999,1.01e-06,0.131,0.377,59.635,0
0.655,0.603,8,-5.013999999999999,0.0555,0.0959,0.0,0.107,0.452,126.088,0
0.7040000000000001,0.81,4,-4.873,0.0425,0.000307,0.0,0.21600000000000003,0.7120000000000001,102.98,0
0.743,0.752,4,-4.813,0.0414,0.0188,0.0,0.287,0.545,110.015,0
0.716,0.821,5,-3.435,0.0314,0.0558,0.0,0.0844,0.618,92.99700000000001,0
0.705,0.64,11,-6.928,0.225,0.0237,0.0,0.262,0.887,144.077,0
0.499,0.7859999999999999,8,-4.802,0.099,0.0744,0.0,0.22899999999999998,0.499,174.012,0
0.628,0.698,6,-5.608,0.105,0.0472,0.00143,0.0907,0.732,89.976,0
0.747,0.716,11,-2.457,0.075,0.135,0.0,0.251,0.7509999999999999,125.008,0
0.723,0.862,11,-4.357,0.201,0.264,4.46e-06,0.599,0.679,126.98899999999999,0
0.65,0.736,6,-5.84,0.22899999999999998,0.0513,0.0,0.235,0.612,159.174,0
0.703,0.747,0,-4.446000000000001,0.0895,0.28300000000000003,0.0,0.396,0.7,149.974,0
0.5529999999999999,0.586,11,-6.319,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,0
0.534,0.596,6,-6.653,0.11699999999999999,0.56,0.0,0.133,0.324,100.12100000000001,0
0.64,0.5329999999999999,0,-6.596,0.0706,0.11900000000000001,0.0,0.0864,0.515,99.96799999999999,0
0.677,0.49700000000000005,5,-5.763,0.0809,0.152,0.0,0.0911,0.419,99.137,0
0.684,0.64,11,-7.343999999999999,0.0453,0.40399999999999997,2.7699999999999996e-05,0.0989,0.425,113.917,0
0.413,0.856,0,-4.078,0.0808,0.0289,0.00571,0.34299999999999997,0.35,128.017,0
0.63,0.9279999999999999,9,-2.787,0.0331,0.19899999999999998,0.124,0.14800000000000002,0.465,123.963,0
0.6459999999999999,0.823,2,-4.123,0.0394,0.213,0.0,0.322,0.418,128.035,0
0.738,0.868,11,-4.373,0.0731,0.0389,0.0017100000000000001,0.38799999999999996,0.336,122.00299999999999,0
0.581,0.93,4,-3.904,0.10400000000000001,0.185,5.16e-05,0.0459,0.5660000000000001,127.979,0
0.695,0.8590000000000001,8,-5.124,0.0511,0.373,0.0,0.134,0.565,124.97,0
