danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.599,0.722,1,-4.032,1,0.0934,0.0256,0.0,0.0896,0.557,102.147,audio_features,4mEPquRcjE0gTFoylj2b5v,spotify:track:4mEPquRcjE0gTFoylj2b5v,https://api.spotify.com/v1/tracks/4mEPquRcjE0gTFoylj2b5v,https://api.spotify.com/v1/audio-analysis/4mEPquRcjE0gTFoylj2b5v,167093,4
0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,audio_features,6kPJZM97LwdG9QIsT7khp6,spotify:track:6kPJZM97LwdG9QIsT7khp6,https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6,https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6,222653,4
0.663,0.713,7,-6.647,0,0.112,0.0353,7.68e-06,0.0843,0.69,101.965,audio_features,0vbtURX4qv1l7besfwmnD8,spotify:track:0vbtURX4qv1l7besfwmnD8,https://api.spotify.com/v1/tracks/0vbtURX4qv1l7besfwmnD8,https://api.spotify.com/v1/audio-analysis/0vbtURX4qv1l7besfwmnD8,197933,4
0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063,audio_features,3NFuE3uDOr6QUw9UZ9HzKo,spotify:track:3NFuE3uDOr6QUw9UZ9HzKo,https://api.spotify.com/v1/tracks/3NFuE3uDOr6QUw9UZ9HzKo,https://api.spotify.com/v1/audio-analysis/3NFuE3uDOr6QUw9UZ9HzKo,219043,4
0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016,audio_features,2tpWsVSb9UEmDRxAl1zhX1,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,https://api.spotify.com/v1/tracks/2tpWsVSb9UEmDRxAl1zhX1,https://api.spotify.com/v1/audio-analysis/2tpWsVSb9UEmDRxAl1zhX1,257267,4
0.736,0.949,9,-3.246,0,0.0527,0.189,0.0169,0.067,0.687,109.991,audio_features,2iqIPpMrW9DCcs6XmxNFsY,spotify:track:2iqIPpMrW9DCcs6XmxNFsY,https://api.spotify.com/v1/tracks/2iqIPpMrW9DCcs6XmxNFsY,https://api.spotify.com/v1/audio-analysis/2iqIPpMrW9DCcs6XmxNFsY,200727,4
0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.086,audio_features,6rPO02ozF3bM7NnOV4h6s2,spotify:track:6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,228827,4
0.718,0.609,0,-4.699,0,0.0429,0.281,3.29e-05,0.234,0.497,122.948,audio_features,4SPLWgCPoKwULz2UTM8TKg,spotify:track:4SPLWgCPoKwULz2UTM8TKg,https://api.spotify.com/v1/tracks/4SPLWgCPoKwULz2UTM8TKg,https://api.spotify.com/v1/audio-analysis/4SPLWgCPoKwULz2UTM8TKg,214867,4
0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,audio_features,2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,209320,4
0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,audio_features,5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,251088,4
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4
